epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,271.721,1.41086,2.04572,1.30268,0.51636,0.4587,0.43873,0.19688,1.9479,2.29275,1.67529,0.000661333,0.000661333,0.000661333
2,536.107,1.49316,1.60781,1.35015,0.55859,0.35556,0.39697,0.16188,2.06779,3.15856,2.00407,0.00131485,0.00131485,0.00131485
3,806.602,1.50517,1.54507,1.34442,0.32475,0.45926,0.31269,0.1436,1.81774,4.06902,1.85776,0.00195517,0.00195517,0.00195517
4,1088.8,1.48474,1.46737,1.33624,0.48381,0.48889,0.45757,0.21861,1.7663,2.08982,1.57938,0.0019406,0.0019406,0.0019406
5,1370.55,1.43173,1.40744,1.31231,0.53542,0.52593,0.47377,0.22244,2.04563,1.8191,1.88432,0.0019208,0.0019208,0.0019208
6,1638.61,1.41905,1.34377,1.28061,0.71845,0.52593,0.60114,0.28652,1.92834,1.63005,1.74592,0.001901,0.001901,0.001901
7,1900.16,1.39259,1.31988,1.27357,0.57701,0.54815,0.54932,0.28062,1.67486,1.56246,1.59786,0.0018812,0.0018812,0.0018812
8,2178.73,1.36553,1.28795,1.27113,0.57042,0.48889,0.53255,0.2466,1.83312,1.61782,1.64328,0.0018614,0.0018614,0.0018614
9,2442.65,1.36453,1.25521,1.26333,0.704,0.6,0.64457,0.31465,1.82812,1.46,1.58874,0.0018416,0.0018416,0.0018416
10,2723.91,1.34414,1.23508,1.25662,0.60478,0.6121,0.63953,0.30346,1.85492,1.53826,1.70262,0.0018218,0.0018218,0.0018218
11,2990.76,1.31964,1.21028,1.24481,0.57467,0.48148,0.51242,0.26489,1.87112,1.6275,1.7784,0.001802,0.001802,0.001802
12,3266.49,1.30981,1.19208,1.23685,0.54479,0.53333,0.49999,0.25692,1.75542,1.59309,1.56482,0.0017822,0.0017822,0.0017822
13,3533.18,1.28931,1.16283,1.21935,0.72481,0.65926,0.6899,0.38965,1.54935,1.25903,1.42955,0.0017624,0.0017624,0.0017624
14,3807.22,1.27925,1.15181,1.21645,0.69851,0.53204,0.62963,0.34795,1.64955,1.43741,1.54502,0.0017426,0.0017426,0.0017426
15,4077.7,1.28086,1.11853,1.2185,0.6623,0.59259,0.64439,0.33639,1.60015,1.34084,1.45934,0.0017228,0.0017228,0.0017228
16,4329.74,1.24593,1.10428,1.20907,0.67065,0.5732,0.6277,0.29026,1.80515,1.49855,1.69276,0.001703,0.001703,0.001703
17,4582.91,1.25055,1.10631,1.20612,0.76384,0.56296,0.67855,0.38312,1.5955,1.35849,1.46723,0.0016832,0.0016832,0.0016832
